Estado,Abreviatura,Regiones,Mujeres,Hombres,No_esp
 Aguascalientes,AG,Noreste,7,86,0
 Baja California,BC,Noroeste,298,2563,106
 Baja California Sur,BS,Noroeste,7,71,0
 Campeche,CM,Sureste,7,69,0
 Coahuila de Zaragoza,CO,Noreste,33,209,0
 Colima,CL,Occidente,105,588,1
 Chiapas,CS,Sureste,74,461,1
 Chihuahua,CH,Noroeste,357,3107,4
 CDMX,CX,Centro-Sur,144,1196,0
 Durango,DG,Noroeste,20,147,1
 Guanajuato,GT,Noreste,640,4524,206
 Guerrero,GR,Centro-Sur,154,1349,4
 Hidalgo,HG,Occidente,42,324,0
 Jalisco,JC,Noroeste,245,1989,7
 Mexico,EM,Occidente,432,2648,9
 Michoacan,MI,Occidente,248,2149,3
 Morelos,MO,Centro-Sur,81,905,2
 Nayarit,NA,Noroeste,22,162,1
 Nuevo Leon,NL,Noreste,93,822,4
 Oaxaca,OA,Sureste,110,765,0
 Puebla,PU,Centro-Sur,128,902,1
 Queretaro,QT,Noreste,25,202,0
 Quintana Roo,QR,Sureste,68,560,0
 San Luis Potosi,SL,Noreste,62,729,12
 Sinaloa,SI,Noroeste,40,814,12
 Sonora,SO,Noroeste,93,1449,40
 Tabasco,TB,Sureste,55,530,0
 Tamaulipas,TM,Noreste,75,705,20
 Tlaxcala,TL,Centro-Sur,27,125,2
 Veracruz,VE,Sureste,139,1038,2
 Yucatan,YU,Sureste,12,60,0
 Zacatecas,ZA,Noreste,114,1088,42